split,seed,init,auroc,auprc,test_loss,sensitivity,specificity,accuracy,thred_optim,best_epoch,F1,Precision,descriptors,family,model
rev22_compound_s0,42,pretrained,0.9820545073375262,0.985142074778774,0.16657053902745247,0.9266666666666666,0.9308176100628931,0.9288025889967637,0.3922909200191498,44.0,0.9288847257748419,0.9308176100628931,on,compound,"DrugBAN-BiLSTM (pretrained, descriptors on)"
rev22_compound_s0,42,pretrained,0.9871907756813417,0.988919486151226,0.15227232426404952,0.9466666666666667,0.9371069182389937,0.941747572815534,0.3590540885925293,46.0,0.9416026846717129,0.9490445859872612,off,compound,"DrugBAN-BiLSTM (pretrained, descriptors off)"
rev22_compound_s0,42,scratch,0.9732285115303984,0.9784664413363577,0.250375334918499,0.9133333333333333,0.9182389937106918,0.9158576051779935,0.5814694166183472,41.0,0.9159872203972736,0.9182389937106918,on,compound,"DrugBAN-BiLSTM (scratch, descriptors on)"
rev22_compound_s0,42,scratch,0.970754716981132,0.9770056705963349,0.27663069367408755,0.9,0.9433962264150944,0.9223300970873787,0.7292243838310242,42.0,0.923356036446524,0.9090909090909091,off,compound,"DrugBAN-BiLSTM (scratch, descriptors off)"
rev22_compound_s1,42,pretrained,0.9724281742354031,0.9684287506455498,0.24892489649355412,0.9216867469879518,0.916083916083916,0.919093851132686,0.22090458869934082,44.0,0.9186524573465248,0.9097222222222222,on,compound,"DrugBAN-BiLSTM (pretrained, descriptors on)"
rev22_compound_s1,42,pretrained,0.9705956693908502,0.9654255288385184,0.28120968360453846,0.9156626506024096,0.916083916083916,0.9158576051779935,0.23822712898254395,38.0,0.9158859994799875,0.903448275862069,off,compound,"DrugBAN-BiLSTM (pretrained, descriptors off)"
rev22_compound_s1,42,scratch,0.9645294464571574,0.9374458396110934,0.29087601155042647,0.891566265060241,0.9230769230769231,0.9061488673139159,0.5392320156097412,42.0,0.9087541253180357,0.88,on,compound,"DrugBAN-BiLSTM (scratch, descriptors on)"
rev22_compound_s1,42,scratch,0.9503538630044654,0.9376101288986662,0.3684265106916428,0.891566265060241,0.916083916083916,0.9029126213592233,0.6731530427932739,41.0,0.9049848047477704,0.8791946308724832,off,compound,"DrugBAN-BiLSTM (scratch, descriptors off)"
rev22_compound_s2,42,pretrained,0.9786405723905724,0.9806572048987534,0.2104393273591995,0.9636363636363636,0.9166666666666666,0.941747572815534,0.29156234860420227,49.0,0.9387071829030139,0.9565217391304348,on,compound,"DrugBAN-BiLSTM (pretrained, descriptors on)"
rev22_compound_s2,42,pretrained,0.981986531986532,0.9829465202029286,0.17994329277426005,0.9333333333333333,0.9305555555555556,0.9320388349514563,0.3705833852291107,49.0,0.9318447914134125,0.9241379310344827,off,compound,"DrugBAN-BiLSTM (pretrained, descriptors off)"
rev22_compound_s2,42,scratch,0.9780092592592593,0.9740698259081231,0.2455689862370491,0.9575757575757575,0.9027777777777778,0.9320388349514563,0.6973966956138611,50.0,0.9282047923890046,0.948905109489051,on,compound,"DrugBAN-BiLSTM (scratch, descriptors on)"
rev22_compound_s2,42,scratch,0.9773358585858586,0.9778940110581502,0.2653805658221245,0.9151515151515152,0.9166666666666666,0.9158576051779935,0.7363430261611938,50.0,0.9159677479484021,0.9041095890410958,off,compound,"DrugBAN-BiLSTM (scratch, descriptors off)"
rev22_compound_s3,42,pretrained,0.9708578637510513,0.9712700439347604,0.23085318952798844,0.8597560975609756,0.9310344827586207,0.8932038834951457,0.21646730601787567,50.0,0.8989900318346266,0.8544303797468354,on,compound,"DrugBAN-BiLSTM (pretrained, descriptors on)"
rev22_compound_s3,42,pretrained,0.9715727502102607,0.9716564138151011,0.24572833329439164,0.8658536585365854,0.9379310344827586,0.8996763754045307,0.19392676651477814,46.0,0.9053000350989474,0.8607594936708861,off,compound,"DrugBAN-BiLSTM (pretrained, descriptors off)"
rev22_compound_s3,42,scratch,0.9521867115222875,0.9523273793229612,0.30494657456874846,0.926829268292683,0.8551724137931035,0.8932038834951457,0.6211455464363098,46.0,0.8869454605262229,0.9117647058823529,on,compound,"DrugBAN-BiLSTM (scratch, descriptors on)"
rev22_compound_s3,42,scratch,0.9582632464255677,0.9604837893450147,0.28057015389204026,0.8719512195121951,0.903448275862069,0.8867313915857605,0.5338111519813538,49.0,0.8894358921613157,0.8618421052631579,off,compound,"DrugBAN-BiLSTM (scratch, descriptors off)"
rev22_compound_s4,42,pretrained,0.9666147105906142,0.9757454412138397,0.3234787553548813,0.8811188811188811,0.9216867469879518,0.9029126213592233,0.18414558470249176,49.0,0.9033579946337641,0.9,on,compound,"DrugBAN-BiLSTM (pretrained, descriptors on)"
rev22_compound_s4,42,pretrained,0.9685735950796192,0.9765827036622815,0.3112370505928993,0.9020979020979021,0.9096385542168675,0.9061488673139159,0.3980496823787689,48.0,0.9062168026372128,0.9151515151515152,off,compound,"DrugBAN-BiLSTM (pretrained, descriptors off)"
rev22_compound_s4,42,scratch,0.9621282332125706,0.9719673411102255,0.259681861102581,0.9300699300699301,0.8674698795180723,0.8964401294498382,0.6181386113166809,46.0,0.8954940267744016,0.935064935064935,on,compound,"DrugBAN-BiLSTM (scratch, descriptors on)"
rev22_compound_s4,42,scratch,0.9510489510489512,0.9657014208403802,0.2774371445178986,0.9440559440559441,0.8433734939759037,0.889967637540453,0.7549411058425903,47.0,0.8880755712356213,0.9459459459459459,off,compound,"DrugBAN-BiLSTM (scratch, descriptors off)"
rev22_nodual_s0,42,pretrained,0.9892160219103048,0.9702156238758415,0.1289408928132616,0.9782608695652174,0.968503937007874,0.9735849056603774,0.5936201810836792,46.0,0.973246913795117,0.9761904761904762,on,nodual,"DrugBAN-BiLSTM (pretrained, descriptors on)"
rev22_nodual_s0,42,pretrained,0.985107839780897,0.9806072775107731,0.14703908981755376,0.9927536231884058,0.968503937007874,0.9811320754716981,0.5905464887619019,26.0,0.9803860251238699,0.9919354838709677,off,nodual,"DrugBAN-BiLSTM (pretrained, descriptors off)"
rev22_nodual_s1,42,pretrained,0.9992594280505868,0.9992439184345401,0.04466636240896252,0.9776119402985075,1.0,0.9886792452830189,0.3830322325229645,45.0,0.9889248899369033,0.9776119402985075,on,nodual,"DrugBAN-BiLSTM (pretrained, descriptors on)"
rev22_nodual_s1,42,pretrained,0.9990885268314914,0.9990608949978743,0.08071398332766774,0.9701492537313433,1.0,0.9849056603773585,0.2722243070602417,45.0,0.9852891187537356,0.9703703703703703,off,nodual,"DrugBAN-BiLSTM (pretrained, descriptors off)"
rev22_nodual_s2,42,pretrained,0.9863247863247863,0.9902099790637777,0.16051388500879207,0.9925925925925926,0.9538461538461539,0.9735849056603774,0.7930428981781006,41.0,0.9726852983165082,0.992,on,nodual,"DrugBAN-BiLSTM (pretrained, descriptors on)"
rev22_nodual_s2,42,pretrained,0.9897435897435898,0.9918531288351365,0.15280006748313704,1.0,0.9307692307692308,0.9660377358490566,0.8234733939170837,50.0,0.9641384327491531,1.0,off,nodual,"DrugBAN-BiLSTM (pretrained, descriptors off)"
rev22_nodual_s3,42,pretrained,0.999599633951041,0.9996561586449159,0.028405185944090288,0.9919354838709677,0.9929078014184397,0.9924528301886792,0.3054320216178894,50.0,0.9924203251657167,0.9929078014184397,on,nodual,"DrugBAN-BiLSTM (pretrained, descriptors on)"
rev22_nodual_s3,42,pretrained,0.9993708533516359,0.999470423431583,0.038564839555571474,1.0,0.9858156028368794,0.9924528301886792,0.667451798915863,49.0,0.992852143137422,1.0,off,nodual,"DrugBAN-BiLSTM (pretrained, descriptors off)"
rev22_nodual_s4,42,pretrained,0.9947126436781609,0.9960576426373678,0.10599526079992454,0.95,0.9862068965517241,0.969811320754717,0.08321631699800491,38.0,0.9686656197269451,0.959731543624161,on,nodual,"DrugBAN-BiLSTM (pretrained, descriptors on)"
rev22_nodual_s4,42,pretrained,0.9949425287356322,0.9962096011797085,0.11935421255313688,0.9583333333333334,0.9862068965517241,0.9735849056603774,0.11635010689496994,45.0,0.9726462692146445,0.9662162162162162,off,nodual,"DrugBAN-BiLSTM (pretrained, descriptors off)"
