family,model,auroc_mean,auroc_sd,auprc_mean,auprc_sd,n
compound,1NN_tanimoto,0.9568,0.0116,0.9445,0.0152,5
compound,"DrugBAN-BiLSTM (pretrained, descriptors off)",0.976,0.0081,0.9771,0.0092,5
compound,"DrugBAN-BiLSTM (pretrained, descriptors on)",0.9741,0.0062,0.9762,0.0068,5
compound,"DrugBAN-BiLSTM (scratch, descriptors off)",0.9616,0.012,0.9637,0.0164,5
compound,"DrugBAN-BiLSTM (scratch, descriptors on)",0.966,0.0101,0.9629,0.0174,5
compound,logreg_ecfp4,0.9802,0.0059,0.9814,0.0065,5
compound,majority,0.5,0.0,0.49,0.0338,5
compound,rf_ecfp4,0.9793,0.0064,0.9812,0.007,5
nodual,1NN_tanimoto,0.9849,0.0027,0.9804,0.003,5
nodual,"DrugBAN-BiLSTM (pretrained, descriptors off)",0.9937,0.0062,0.9934,0.0078,5
nodual,"DrugBAN-BiLSTM (pretrained, descriptors on)",0.9938,0.0059,0.9911,0.0123,5
nodual,logreg_ecfp4,0.9982,0.0018,0.9985,0.0012,5
nodual,majority,0.5,0.0,0.5087,0.0293,5
nodual,rf_ecfp4,0.9991,0.001,0.9992,0.0009,5
random,1NN_tanimoto,0.8769,,0.8253,,1
random,"DrugBAN-BiLSTM (pretrained, descriptors off)",0.9756,0.0019,0.9745,0.002,10
random,"DrugBAN-BiLSTM (pretrained, descriptors on)",0.9622,0.0033,0.9608,0.0044,10
random,"DrugBAN-BiLSTM (scratch, descriptors off)",0.9604,0.0099,0.9559,0.0206,5
random,"DrugBAN-BiLSTM (scratch, descriptors on)",0.9521,0.0098,0.9414,0.0178,5
random,logreg_ecfp4,0.9597,,0.9584,,1
random,majority,0.5,,0.4725,,1
random,rf_ecfp4,0.9532,,0.9533,,1
scaffold,1NN_tanimoto,0.937,0.0198,0.9072,0.0429,5
scaffold,"DrugBAN-BiLSTM (pretrained, descriptors off)",0.9605,0.0037,0.9612,0.0034,5
scaffold,"DrugBAN-BiLSTM (pretrained, descriptors on)",0.9557,0.0048,0.9542,0.0133,5
scaffold,"DrugBAN-BiLSTM (scratch, descriptors off)",0.9416,0.02,0.9367,0.0207,5
scaffold,"DrugBAN-BiLSTM (scratch, descriptors on)",0.946,0.0129,0.9463,0.0088,5
scaffold,logreg_ecfp4,0.9707,0.0125,0.9706,0.0115,5
scaffold,majority,0.5,0.0,0.4867,0.0382,5
scaffold,rf_ecfp4,0.9712,0.0082,0.9725,0.0081,5
