metric,mean,sd,min,max
gap_mean_EC50,0.12677102386951447,0.0064756111743623545,0.1176084354519844,0.13670103251934052
gap_median_EC50,0.020070695877075197,0.008085614948440345,0.012662649154663086,0.03828918933868408
max_sharing_EC50,2.3,0.48304589153964794,2.0,3.0
distinct_partners_EC50,16.3,2.057506581601462,12.0,19.0
shared_fraction_EC50,0.6679999999999999,0.14853357271075865,0.48,0.92
gap_mean_IC50,0.514773941040039,0.14302857123758858,0.3190653920173645,0.8295080661773682
gap_median_IC50,0.4682336688041687,0.10418218784683912,0.31804418563842773,0.6942293643951416
max_sharing_IC50,3.2,0.4216370213557839,3.0,4.0
distinct_partners_IC50,14.1,1.6633299933166201,10.0,16.0
shared_fraction_IC50,0.724,0.08733078876700168,0.6,0.88
