file,pool,gap_mean_EC50,gap_median_EC50,max_sharing_EC50,distinct_partners_EC50,shared_fraction_EC50,gap_mean_IC50,gap_median_IC50,max_sharing_IC50,distinct_partners_IC50,shared_fraction_IC50
featoff_seed42.npz,58,0.1247774288058281,0.01420903205871582,3,18,0.48,0.5029454231262207,0.49120640754699707,3,15,0.68
featoff_seed43.npz,61,0.11958789080381393,0.021059632301330566,2,18,0.56,0.44741591811180115,0.437746524810791,4,14,0.68
featoff_seed44.npz,51,0.13294406235218048,0.03828918933868408,3,12,0.92,0.8295080661773682,0.6942293643951416,4,10,0.88
featoff_seed45.npz,58,0.12909837067127228,0.018883228302001953,2,15,0.8,0.38357093930244446,0.3427102565765381,3,15,0.72
featoff_seed46.npz,63,0.12902742624282837,0.018146753311157227,3,16,0.64,0.3190653920173645,0.31804418563842773,3,16,0.6
featoff_seed47.npz,62,0.1176084354519844,0.0297696590423584,2,18,0.56,0.5070180296897888,0.42855405807495117,3,15,0.68
featoff_seed48.npz,56,0.11844421178102493,0.015623092651367188,2,16,0.72,0.6605865955352783,0.5193178653717041,3,15,0.64
featoff_seed49.npz,57,0.1310732513666153,0.01874089241027832,2,19,0.48,0.5420377850532532,0.47547388076782227,3,14,0.76
featoff_seed50.npz,59,0.13670103251934052,0.013322830200195312,2,15,0.8,0.47212523221969604,0.45703017711639404,3,13,0.84
featoff_seed51.npz,64,0.12844812870025635,0.012662649154663086,2,16,0.72,0.4834660291671753,0.5180239677429199,3,14,0.76
